"ap_dte","shftim","wk_day","yr_dte","mn_dte","dy_dte","field"
"01/01/2019","8.666666667","terça-feira","2019","01","01",""
"02/01/2019","8.666666667","quarta-feira","2019","01","02",""
"03/01/2019","8.666666667","quinta-feira","2019","01","03",""
"04/01/2019","8.666666667","sexta-feira","2019","01","04",""
"05/01/2019","8.666666667","sábado","2019","01","05",""
"06/01/2019","8.666666667","domingo","2019","01","06",""
"07/01/2019","8.666666667","segunda-feira","2019","01","07",""
"08/01/2019","8.666666667","terça-feira","2019","01","08",""
"09/01/2019","8.666666667","quarta-feira","2019","01","09",""
"10/01/2019","8.666666667","quinta-feira","2019","01","10",""
"11/01/2019","8.666666667","sexta-feira","2019","01","11",""
"12/01/2019","8.666666667","sábado","2019","01","12",""
"13/01/2019","8.666666667","domingo","2019","01","13",""
"14/01/2019","8.666666667","segunda-feira","2019","01","14",""
"15/01/2019","8.666666667","terça-feira","2019","01","15",""
"16/01/2019","8.666666667","quarta-feira","2019","01","16",""
"17/01/2019","8.666666667","quinta-feira","2019","01","17",""
"18/01/2019","8.666666667","sexta-feira","2019","01","18",""
"19/01/2019","8.666666667","sábado","2019","01","19",""
"20/01/2019","8.666666667","domingo","2019","01","20",""
"21/01/2019","8.666666667","segunda-feira","2019","01","21",""
"22/01/2019","8.666666667","terça-feira","2019","01","22",""
"23/01/2019","8.666666667","quarta-feira","2019","01","23",""
"24/01/2019","8.666666667","quinta-feira","2019","01","24",""
"25/01/2019","8.666666667","sexta-feira","2019","01","25",""
"26/01/2019","8.666666667","sábado","2019","01","26",""
"27/01/2019","8.666666667","domingo","2019","01","27",""
"28/01/2019","8.666666667","segunda-feira","2019","01","28",""
"29/01/2019","8.666666667","terça-feira","2019","01","29",""
"30/01/2019","8.666666667","quarta-feira","2019","01","30",""
"31/01/2019","8.666666667","quinta-feira","2019","01","31",""
"01/02/2019","8.666666667","sexta-feira","2019","02","01",""
"02/02/2019","8.666666667","sábado","2019","02","02",""
"03/02/2019","8.666666667","domingo","2019","02","03",""
"04/02/2019","8.666666667","segunda-feira","2019","02","04",""
"05/02/2019","8.666666667","terça-feira","2019","02","05",""
"06/02/2019","8.666666667","quarta-feira","2019","02","06",""
"07/02/2019","8.666666667","quinta-feira","2019","02","07",""
"08/02/2019","8.666666667","sexta-feira","2019","02","08",""
"09/02/2019","8.666666667","sábado","2019","02","09",""
"10/02/2019","8.666666667","domingo","2019","02","10",""
"11/02/2019","8.666666667","segunda-feira","2019","02","11",""
"12/02/2019","8.666666667","terça-feira","2019","02","12",""
"13/02/2019","8.666666667","quarta-feira","2019","02","13",""
"14/02/2019","8.666666667","quinta-feira","2019","02","14",""
"15/02/2019","8.666666667","sexta-feira","2019","02","15",""
"16/02/2019","8.666666667","sábado","2019","02","16",""
"17/02/2019","8.666666667","domingo","2019","02","17",""
"18/02/2019","8.666666667","segunda-feira","2019","02","18",""
"19/02/2019","8.666666667","terça-feira","2019","02","19",""
"20/02/2019","8.666666667","quarta-feira","2019","02","20",""
"21/02/2019","8.666666667","quinta-feira","2019","02","21",""
"22/02/2019","8.666666667","sexta-feira","2019","02","22",""
"23/02/2019","8.666666667","sábado","2019","02","23",""
"24/02/2019","8.666666667","domingo","2019","02","24",""
"25/02/2019","8.666666667","segunda-feira","2019","02","25",""
"26/02/2019","8.666666667","terça-feira","2019","02","26",""
"27/02/2019","8.666666667","quarta-feira","2019","02","27",""
"28/02/2019","8.666666667","quinta-feira","2019","02","28",""
"01/03/2019","8.666666667","sexta-feira","2019","03","01",""
"02/03/2019","8.666666667","sábado","2019","03","02",""
"03/03/2019","8.666666667","domingo","2019","03","03",""
"04/03/2019","8.666666667","segunda-feira","2019","03","04",""
"05/03/2019","8.666666667","terça-feira","2019","03","05",""
"06/03/2019","8.666666667","quarta-feira","2019","03","06",""
"07/03/2019","8.666666667","quinta-feira","2019","03","07",""
"08/03/2019","8.666666667","sexta-feira","2019","03","08",""
"09/03/2019","8.666666667","sábado","2019","03","09",""
"10/03/2019","8.666666667","domingo","2019","03","10",""
"11/03/2019","8.666666667","segunda-feira","2019","03","11",""
"12/03/2019","8.666666667","terça-feira","2019","03","12",""
"13/03/2019","8.666666667","quarta-feira","2019","03","13",""
"14/03/2019","8.666666667","quinta-feira","2019","03","14",""
"15/03/2019","8.666666667","sexta-feira","2019","03","15",""
"16/03/2019","8.666666667","sábado","2019","03","16",""
"17/03/2019","8.666666667","domingo","2019","03","17",""
"18/03/2019","8.666666667","segunda-feira","2019","03","18",""
"19/03/2019","8.666666667","terça-feira","2019","03","19",""
"20/03/2019","8.666666667","quarta-feira","2019","03","20",""
"21/03/2019","8.666666667","quinta-feira","2019","03","21",""
"22/03/2019","8.666666667","sexta-feira","2019","03","22",""
"23/03/2019","8.666666667","sábado","2019","03","23",""
"24/03/2019","8.666666667","domingo","2019","03","24",""
"25/03/2019","8.666666667","segunda-feira","2019","03","25",""
"26/03/2019","8.666666667","terça-feira","2019","03","26",""
"27/03/2019","8.666666667","quarta-feira","2019","03","27",""
"28/03/2019","8.666666667","quinta-feira","2019","03","28",""
"29/03/2019","8.666666667","sexta-feira","2019","03","29",""
"30/03/2019","8.666666667","sábado","2019","03","30",""
"31/03/2019","8.666666667","domingo","2019","03","31",""
"01/04/2019","8.666666667","segunda-feira","2019","04","01",""
"02/04/2019","8.666666667","terça-feira","2019","04","02",""
"03/04/2019","8.666666667","quarta-feira","2019","04","03",""
"04/04/2019","8.666666667","quinta-feira","2019","04","04",""
"05/04/2019","8.666666667","sexta-feira","2019","04","05",""
"06/04/2019","8.666666667","sábado","2019","04","06",""
"07/04/2019","8.666666667","domingo","2019","04","07",""
"08/04/2019","8.666666667","segunda-feira","2019","04","08",""
"09/04/2019","8.666666667","terça-feira","2019","04","09",""
"10/04/2019","8.666666667","quarta-feira","2019","04","10",""
"11/04/2019","8.666666667","quinta-feira","2019","04","11",""
"12/04/2019","8.666666667","sexta-feira","2019","04","12",""
"13/04/2019","8.666666667","sábado","2019","04","13",""
